mixture_collection	indiv	AK	East	FL	TX	West	na_count	Year	Month	Day	State	nearestCity	countryCode	latitude	longitude
ID	16N2079	0.0861477262777024	4.44706797125137e-05	3.37020407663106e-12	2.69647280031388e-13	0.913807803038946	17	2017	AUG	26	ID	Boise	USA	43.60583	-116.0597
ID	16N2080	1.92972735632414e-07	1.19223494685605e-05	3.12818268699139e-11	2.04108808578649e-10	0.999987884442406	1	2017	AUG	27	ID	Boise	USA	43.60583	-116.0597
ID	16N2081	1.87046562740838e-06	9.91879772746176e-05	3.02323835321772e-09	6.32064207950854e-18	0.999898938533861	13	2017	AUG	27	ID	Boise	USA	43.60583	-116.0597
ID	16N2082	9.56171363936382e-09	0.000114472930787142	4.22028656260948e-10	4.17820229175617e-08	0.999885475303448	9	2017	AUG	27	ID	Boise	USA	43.60583	-116.0597
ID	16N2083	1.13532109832519e-06	0.0360510413773353	5.60005164676747e-07	1.47397631091092e-10	0.963947263149003	9	2017	AUG	28	ID	Boise	USA	43.60583	-116.0597
ID	16N2084	1.88558847241047e-05	1.35933180068974e-06	4.9641655393654e-12	2.17118811468607e-14	0.99997978477849	25	2017	AUG	29	ID	Boise	USA	43.60583	-116.0597
ID	16N2085	0.00136505420706306	2.54007372238975e-07	8.4140408238799e-11	7.61324430492849e-10	0.998634690940098	25	2017	AUG	31	ID	Boise	USA	43.60583	-116.0597
ID	16N2086	7.31108222018742e-10	0.000101167774345725	9.86716463010334e-09	7.49181197459644e-16	0.999898821627381	9	2017	AUG	31	ID	Boise	USA	43.60583	-116.0597
ID	16N2087	2.04632940952048e-08	0.000154179892093099	0.000199828412389252	4.73293464502988e-18	0.999645971232222	3	2017	AUG	31	ID	Boise	USA	43.60583	-116.0597
ID	16N2088	3.66611461565148e-09	0.00752259208525374	3.76029501164117e-11	1.03869886030581e-19	0.992477404211028	1	2017	AUG	31	ID	Boise	USA	43.60583	-116.0597
ID	16N2090	1.82804440204671e-10	0.618961961834217	7.4377064240368e-10	3.44070632653708e-11	0.381038037204801	3	2017	AUG	31	ID	Boise	USA	43.60583	-116.0597
ID	16N2091	8.68663551024492e-11	1.0287549691453e-06	1.91191122679572e-14	5.21802296473899e-10	0.999998970636342	3	2017	AUG	18	ID	Boise	USA	43.60583	-116.0597
ID	16N2092	8.9005824607697e-08	0.00109640953357159	2.20574664556854e-09	3.44968305329929e-08	0.998903464758029	3	2017	SEP	1	ID	Boise	USA	43.60583	-116.0597
ID	16N2093	0.00339952051703052	0.0875247053730535	9.53399627088554e-11	9.96541940604954e-06	0.909065808595169	3	2017	SEP	3	ID	Boise	USA	43.60583	-116.0597
ID	16N2094	4.11125226939971e-10	4.535487238223e-05	1.69075111726509e-09	2.32510013899302e-13	0.999954643025509	7	2017	SEP	3	ID	Boise	USA	43.60583	-116.0597
ID	16N2095	7.4144958318125e-06	0.00320895814772235	7.96450367623528e-08	4.01503863865509e-11	0.996783547671257	3	2017	SEP	4	ID	Boise	USA	43.60583	-116.0597
ID	16N2096	2.02977131967898e-07	0.0594675516154905	1.74723793722897e-07	8.56998641765405e-07	0.940531213684942	5	2017	SEP	4	ID	Boise	USA	43.60583	-116.0597
ID	16N2097	2.77452860791134e-05	0.241595834092857	1.50955877286726e-07	1.78497665347058e-13	0.758376269665006	3	2017	SEP	4	ID	Boise	USA	43.60583	-116.0597
ID	16N2098	4.40342516271131e-09	3.83297109888472e-07	2.30562444861082e-17	1.80148695977011e-18	0.999999612299465	5	2017	SEP	4	ID	Boise	USA	43.60583	-116.0597
ID	16N2099	3.75993206280115e-06	4.65362075865968e-05	2.99275864963489e-09	2.60562277927889e-15	0.999949700867588	5	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2100	1.30229733834381e-06	0.00111869319319944	3.51054776774807e-08	4.56211156815378e-11	0.998879969358365	3	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2101	5.01081458733308e-07	8.75332802024725e-08	8.09964197508647e-16	1.38094960459801e-18	0.999999411385259	3	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2102	3.19863335718168e-06	0.00597635212322704	7.75203813825185e-08	5.69503362923169e-15	0.994020371723028	3	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2103	1.14558360083397e-06	9.39899617200132e-05	3.27393447201528e-12	1.47055684975538e-08	0.999904849745836	3	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2104	3.65821556917862e-05	0.000156788301005983	3.55410866933041e-10	3.06673679280104e-10	0.999806628881218	3	2017	SEP	8	ID	Boise	USA	43.60583	-116.0597
ID	16N2105	0.000262593929237956	0.000555566124132552	1.14447447952458e-10	2.46916583030887e-08	0.999181815140523	5	2017	SEP	9	ID	Boise	USA	43.60583	-116.0597
ID	16N2106	1.14117977330269e-09	0.00172308441578434	4.87760503137817e-09	2.22231728310205e-17	0.998276909565431	3	2017	SEP	10	ID	Boise	USA	43.60583	-116.0597
ID	16N2107	8.34271958257529e-07	0.00781719567869315	2.05792137571388e-08	3.90175582035069e-20	0.992181949470136	11	2017	SEP	10	ID	Boise	USA	43.60583	-116.0597
ID	16N2108	2.46773877575385e-05	0.0166157405084765	9.25575998103202e-12	1.28111165473541e-11	0.9833595820817	3	2017	SEP	10	ID	Boise	USA	43.60583	-116.0597
ID	16N2109	2.69624691277883e-07	0.0104996372847321	1.45858275385097e-11	9.52822253799555e-16	0.989500093075989	3	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2110	5.35979048123031e-08	0.0229653356267995	4.75692555807136e-08	4.53763413304484e-20	0.977034563206041	5	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2111	5.56646950993099e-09	0.00150532529830722	2.31256946520684e-12	5.53780808047748e-12	0.998494669127371	3	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2112	6.97787052670113e-09	0.000190434651089299	9.70655464740604e-13	2.80958215401406e-12	0.999809558367259	11	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2113	1.35139644175233e-09	0.000178881296608762	4.23130428161705e-11	4.26232005854348e-12	0.999821117305419	21	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2114	1.1591963710911e-07	0.0167736253024461	3.63722310262747e-08	1.92786315376254e-06	0.983224294542531	1	2017	SEP	11	ID	Boise	USA	43.60583	-116.0597
ID	16N2115	1.3128649618348e-08	1.09522316613167e-06	1.09292081142934e-13	7.77932483039793e-17	0.999998891648076	1	2017	SEP	13	ID	Boise	USA	43.60583	-116.0597
ID	16N2116	3.01415575967338e-06	0.000112282826047192	2.13284364989633e-12	7.45012723390906e-18	0.999884703016059	3	2017	SEP	14	ID	Boise	USA	43.60583	-116.0597
ID	16N2117	1.18905310121971e-07	0.0183123055808081	6.08728146417835e-06	2.9268953717302e-11	0.981681488203149	3	2017	SEP	14	ID	Boise	USA	43.60583	-116.0597
ID	16N2118	6.95232376147889e-06	0.00459953486262844	2.01290410544373e-12	3.00168269024053e-13	0.995393512811296	5	2017	SEP	14	ID	Boise	USA	43.60583	-116.0597
ID	16N2119	8.36800732234071e-09	0.00167348475605558	5.42093494123379e-09	3.73673541061517e-17	0.998326501455003	3	2017	SEP	14	ID	Boise	USA	43.60583	-116.0597
ID	16N2120	2.95029795040173e-08	0.000421769632093508	2.47015378584394e-11	5.50617779192023e-13	0.999578200839676	25	2017	SEP	23	ID	Boise	USA	43.60583	-116.0597
